area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	stjernevann	stl7	lemming	2005	spring	2005spring	0	0	0	1	0
varanger	stjernevann	stl8	lemming	2005	spring	2005spring	0	0	0	3	0
varanger	stjernevann	stl9	lemming	2005	spring	2005spring	0	0	0	4	0
varanger	vestre_jakobselv	vj1	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj10	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj11	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj2	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj3	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj4	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj5	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj6	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj7	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj8	NA	2005	spring	2005spring	0	0	0	0	0
varanger	vestre_jakobselv	vj9	NA	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg1	greysided	2005	fall	2005fall	1	0	0	0	0
varanger	bekkarfjord	bfg2	greysided	2005	fall	2005fall	1	0	0	0	0
varanger	bekkarfjord	bfg3	greysided	2005	fall	2005fall	1	0	0	0	0
varanger	bekkarfjord	bfg4	greysided	2005	fall	2005fall	5	0	0	0	0
varanger	bekkarfjord	bfg5	greysided	2005	fall	2005fall	0	0	0	0	0
varanger	bekkarfjord	bfg6	greysided	2005	fall	2005fall	0	0	0	1	0
varanger	bekkarfjord	bfg7	greysided	2005	fall	2005fall	5	0	0	0	0
varanger	bekkarfjord	bfg8	greysided	2005	fall	2005fall	2	0	0	0	0
varanger	bekkarfjord	bfl1	lemming	2005	fall	2005fall	0	0	0	0	0
varanger	bekkarfjord	bfl10	lemming	2005	fall	2005fall	3	0	0	0	0
varanger	bekkarfjord	bfl2	lemming	2005	fall	2005fall	0	0	0	0	0
varanger	bekkarfjord	bfl3	lemming	2005	fall	2005fall	0	0	0	0	0
varanger	bekkarfjord	bfl4	lemming	2005	fall	2005fall	1	0	0	0	0
